Color,Count
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,469
End of Row - Total Pixels,469
White,236
Gray,2
White,231
End of Row - Total Pixels,469
White,236
Gray,2
White,231
End of Row - Total Pixels,469
White,236
Gray,2
White,231
End of Row - Total Pixels,469
White,235
Gray,3
White,231
End of Row - Total Pixels,469
White,235
Gray,4
White,99
Gray,1
White,130
End of Row - Total Pixels,469
White,235
Gray,4
White,97
Gray,3
White,130
End of Row - Total Pixels,469
White,235
Gray,4
White,94
Gray,5
White,131
End of Row - Total Pixels,469
White,235
Gray,4
White,92
Gray,6
White,132
End of Row - Total Pixels,469
White,234
Gray,6
White,89
Gray,7
White,133
End of Row - Total Pixels,469
White,234
Gray,6
White,87
Gray,8
White,134
End of Row - Total Pixels,469
White,234
Gray,6
White,85
Gray,9
White,135
End of Row - Total Pixels,469
White,234
Gray,6
White,84
Gray,10
White,135
End of Row - Total Pixels,469
White,233
Gray,8
White,81
Gray,11
White,136
End of Row - Total Pixels,469
White,233
Gray,8
White,79
Gray,13
White,136
End of Row - Total Pixels,469
White,233
Gray,8
White,77
Gray,14
White,137
End of Row - Total Pixels,469
White,232
Gray,10
White,75
Gray,14
White,138
End of Row - Total Pixels,469
White,232
Gray,10
White,74
Gray,15
White,138
End of Row - Total Pixels,469
White,232
Gray,10
White,73
Gray,16
White,138
End of Row - Total Pixels,469
White,232
Gray,10
White,72
Gray,17
White,138
End of Row - Total Pixels,469
White,231
Gray,12
White,70
Gray,17
White,139
End of Row - Total Pixels,469
White,231
Gray,12
White,69
Gray,18
White,139
End of Row - Total Pixels,469
White,231
Gray,13
White,67
Gray,19
White,139
End of Row - Total Pixels,469
White,231
Gray,13
White,67
Gray,18
White,140
End of Row - Total Pixels,469
White,110
Gray,1
White,120
Gray,13
White,66
Gray,19
White,140
End of Row - Total Pixels,469
White,110
Gray,2
White,118
Gray,14
White,65
Gray,21
White,139
