Color,Count
Gray,133
White,3
Gray,1
White,105
Gray,17
White,2
Gray,1
White,1
Gray,11
Red,3
Gray,25
White,8
Gray,9
White,48
Gray,28
White,42
Gray,15
Red,12
Gray,57
White,3
Gray,3
White,6
Gray,3
White,8
Gray,3
White,7
Gray,20
White,66
End of Row - Total Pixels,640
White,269
Gray,29
White,69
Gray,16
White,2
Gray,8
White,45
Gray,38
White,78
Gray,20
White,66
End of Row - Total Pixels,640
White,270
Gray,28
White,69
Gray,16
White,1
Gray,8
White,46
Gray,44
White,68
Gray,25
White,65
End of Row - Total Pixels,640
White,271
Gray,27
White,69
Gray,16
White,1
Gray,8
White,45
Gray,43
White,67
Gray,28
White,65
End of Row - Total Pixels,640
White,271
Gray,26
White,70
Gray,25
White,45
Gray,47
White,63
Gray,29
White,64
End of Row - Total Pixels,640
White,272
Gray,25
White,70
Gray,25
White,44
Gray,47
White,63
Gray,30
White,64
End of Row - Total Pixels,640
White,272
Gray,25
White,70
Gray,24
White,45
Gray,47
White,61
Gray,32
White,64
End of Row - Total Pixels,640
White,272
Gray,26
White,69
Gray,25
White,43
Gray,49
White,58
Gray,35
White,63
End of Row - Total Pixels,640
White,272
Gray,26
White,68
Gray,26
White,42
Gray,52
White,55
Gray,36
White,63
End of Row - Total Pixels,640
White,273
Gray,25
White,68
Gray,25
White,43
Gray,54
White,52
Gray,37
White,63
End of Row - Total Pixels,640
White,273
Gray,25
White,68
Gray,25
White,42
Gray,14
White,3
Gray,39
White,50
Gray,39
White,62
End of Row - Total Pixels,640
White,274
Gray,24
White,68
Gray,25
White,41
Gray,15
White,3
Gray,39
White,49
Gray,40
White,62
End of Row - Total Pixels,640
White,274
Gray,24
White,68
Gray,25
White,40
Gray,15
White,5
Gray,39
White,48
Gray,40
White,62
End of Row - Total Pixels,640
White,274
Gray,24
White,68
Gray,25
White,40
Gray,15
White,6
Gray,38
White,48
Gray,41
White,61
End of Row - Total Pixels,640
White,275
Gray,23
White,67
Gray,26
White,39
Gray,15
White,7
Gray,40
White,45
Gray,42
White,61
End of Row - Total Pixels,640
White,275
Gray,24
White,66
Gray,26
White,38
Gray,16
White,8
Gray,39
White,44
Gray,43
White,61
End of Row - Total Pixels,640
White,276
Gray,23
White,66
Gray,27
White,14
Gray,2
White,2
Gray,3
White,16
Gray,15
White,9
Gray,42
White,41
Gray,43
White,61
End of Row - Total Pixels,640
White,276
Gray,23
White,66
Gray,27
White,5
Gray,4
White,4
Gray,2
White,1
Gray,1
White,1
Gray,2
White,16
Gray,15
White,11
Gray,42
White,40
Gray,43
White,61
End of Row - Total Pixels,640
White,276
Gray,23
White,66
Gray,26
White,4
Gray,2
White,1
Gray,14
White,7
Gray,1
White,7
Gray,16
White,11
Gray,42
White,38
Gray,45
White,61
End of Row - Total Pixels,640
White,276
Gray,25
White,63
Gray,15
White,5
Gray,9
White,2
Gray,5
White,1
Gray,11
White,6
Gray,2
White,6
Gray,16
White,13
Gray,43
White,36
Gray,46
White,60
End of Row - Total Pixels,640
White,277
Gray,24
White,63
Gray,12
White,17
Gray,2
White,2
Gray,15
White,5
Gray,1
White,7
Gray,17
White,13
Gray,44
White,34
Gray,47
White,60
End of Row - Total Pixels,640
White,277
Gray,24
White,63
Gray,10
White,21
Gray,17
White,5
Gray,2
White,5
Gray,17
White,15
Gray,44
White,32
Gray,48
White,60
End of Row - Total Pixels,640
White,277
Gray,24
White,63
Gray,7
White,24
Gray,17
White,4
Gray,2
White,5
Gray,18
White,15
Gray,45
White,14
Gray,1
White,17
Gray,47
White,60
End of Row - Total Pixels,640
White,278
Gray,23
White,63
Gray,4
White,26
Gray,18
White,4
Gray,2
White,4
Gray,19
White,16
Gray,45
White,10
Gray,1
White,2
Gray,1
White,16
Gray,48
White,60
End of Row - Total Pixels,640
White,278
Gray,22
White,63
Gray,3
White,30
Gray,16
White,2
Gray,2
White,5
Gray,19
White,17
Gray,45
White,30
Gray,48
White,60
End of Row - Total Pixels,640
White,278
Gray,22
White,96
Gray,15
White,2
Gray,1
White,5
Gray,21
White,17
Gray,48
White,8
Gray,1
White,19
Gray,46
White,61
End of Row - Total Pixels,640
White,278
Gray,22
White,97
Gray,14
White,8
Gray,18
White,1
Gray,1
White,19
Gray,47
White,26
Gray,48
White,61
End of Row - Total Pixels,640
White,279
Gray,22
White,97
Gray,13
White,6
Gray,20
White,1
Gray,1
White,19
Gray,47
White,7
Gray,1
White,19
Gray,47
White,61
End of Row - Total Pixels,640
White,279
Gray,22
White,96
Gray,14
White,5
Gray,20
White,22
Gray,50
White,2
Gray,2
White,20
Gray,47
White,61
End of Row - Total Pixels,640
White,279
Gray,22
White,96
Gray,13
White,5
Gray,21
White,22
Gray,54
White,19
Gray,47
White,62
End of Row - Total Pixels,640
White,279
Gray,22
White,96
Gray,12
White,5
Gray,22
White,23
Gray,51
White,21
Gray,47
White,62
End of Row - Total Pixels,640
White,279
Gray,23
White,94
Gray,13
White,4
Gray,21
White,25
Gray,51
White,21
Gray,47
White,62
End of Row - Total Pixels,640
White,279
Gray,23
White,94
Gray,12
White,3
Gray,23
White,25
Gray,51
White,20
Gray,48
White,62
End of Row - Total Pixels,640
White,279
Gray,23
White,93
Gray,12
White,1
Gray,25
White,26
Gray,50
White,21
Gray,48
White,62
End of Row - Total Pixels,640
White,279
Gray,23
White,93
Gray,37
White,28
Gray,49
White,20
Gray,39
White,1
Gray,9
White,62
End of Row - Total Pixels,640
White,279
Gray,24
White,91
Gray,38
White,28
Gray,48
White,19
Gray,1
White,1
Gray,48
White,63
End of Row - Total Pixels,640
White,164
Gray,1
White,7
Gray,11
White,96
Gray,24
White,91
Gray,38
White,28
Gray,47
White,18
Gray,42
White,1
Gray,9
