Color,Count
Black,190
Gray,5
Black,327
Gray,2
Black,1
Gray,2
Black,2
Gray,3
Black,4
Gray,2
Black,7
Gray,1
Black,1
Gray,13
End of Row - Total Pixels,560
Black,188
Gray,7
Black,327
Gray,2
Black,1
Gray,1
Black,2
Gray,3
Black,3
Gray,1
Black,6
Gray,1
Black,2
Gray,16
End of Row - Total Pixels,560
Black,186
Gray,3
Black,3
Gray,4
Black,322
Gray,1
Black,8
Gray,4
Black,2
Gray,2
Black,2
Gray,5
Black,2
Gray,16
End of Row - Total Pixels,560
Black,192
Gray,4
Black,318
Gray,1
Black,2
Gray,1
Black,14
Gray,4
Black,2
Gray,1
Black,6
Gray,15
End of Row - Total Pixels,560
Black,190
Gray,6
Black,321
Gray,1
Black,9
Gray,1
Black,10
Gray,1
Black,6
Gray,15
End of Row - Total Pixels,560
Black,185
Gray,1
Black,1
Gray,1
Black,2
Gray,6
Black,322
Gray,1
Black,5
Gray,1
Black,1
Gray,1
Black,16
Gray,17
End of Row - Total Pixels,560
Black,184
Gray,1
Black,2
Gray,1
Black,2
Gray,6
Black,333
Gray,2
Black,2
Gray,2
Black,1
Gray,1
Black,7
Gray,16
End of Row - Total Pixels,560
Black,190
Gray,6
Black,332
Gray,1
Black,4
Gray,1
Black,2
Gray,1
Black,6
Gray,17
End of Row - Total Pixels,560
Black,186
Gray,3
Black,1
Gray,6
Black,334
Gray,1
Black,12
Gray,17
End of Row - Total Pixels,560
Black,187
Gray,3
Black,1
Gray,5
Black,321
Gray,1
Black,3
Gray,2
Black,19
Gray,18
End of Row - Total Pixels,560
Black,188
Gray,8
Black,323
Gray,1
Black,12
Gray,1
Black,9
Gray,18
End of Row - Total Pixels,560
Black,188
Gray,9
Black,324
Gray,1
Black,5
Gray,1
Black,13
Gray,19
End of Row - Total Pixels,560
Black,188
Gray,8
Black,346
Gray,18
End of Row - Total Pixels,560
Black,187
Gray,10
Black,342
Gray,2
Black,1
Gray,18
End of Row - Total Pixels,560
Black,186
Gray,11
Black,343
Gray,5
Black,1
Gray,14
End of Row - Total Pixels,560
Black,186
Gray,11
Black,325
Gray,1
Black,5
Gray,1
Black,9
Gray,1
Black,1
Gray,4
Black,1
Gray,15
End of Row - Total Pixels,560
Black,188
Gray,9
Black,324
Gray,1
Black,16
Gray,4
Black,1
Gray,17
End of Row - Total Pixels,560
Black,187
Gray,10
Black,342
Gray,21
End of Row - Total Pixels,560
Black,187
Gray,10
Black,326
Gray,1
Black,15
Gray,2
Black,1
Gray,18
End of Row - Total Pixels,560
Black,187
Gray,1
Black,2
Gray,7
Black,342
Gray,1
Black,1
Gray,4
Black,1
Gray,14
End of Row - Total Pixels,560
Black,188
Gray,9
Black,340
Gray,1
Black,1
Gray,1
Black,4
Gray,11
Black,1
Gray,3
Black,1
End of Row - Total Pixels,560
Black,188
Gray,1
Black,1
