Color,Count
Black,127
Gray,1
Red,5
Black,1
Gray,3
Black,1
Red,1
Black,4
Gray,2
Black,1
Red,1
Black,493
Red,1
Black,2
Red,3
Black,5
Red,1
Black,6
Red,1
Black,9
Red,1
Black,4
Red,15
Black,1
Red,34
Black,1
Red,10
Black,1
Red,207
Gray,1
Red,9
Gray,1
Red,3
Gray,2
Red,1
Gray,89
Red,1
Gray,24
Red,1
Gray,18
White,2
Gray,1
White,1
Gray,10
White,7
Gray,16
White,1
Gray,3
White,7
Gray,25
White,115
End of Row - Total Pixels,1280
Black,126
Gray,3
Black,1
Red,4
Gray,4
Black,1
Red,3
Black,1
Gray,2
Black,359
Red,1
Black,61
Red,2
Black,75
Red,2
Black,3
Red,2
Black,17
Red,2
Black,3
Red,6
Black,3
Red,11
Black,1
Red,12
Black,1
Red,14
Black,1
Red,7
Black,1
Red,6
Black,1
Red,35
Black,1
Red,184
Gray,2
Red,1
Gray,131
White,6
Gray,10
White,9
Gray,13
White,13
Gray,22
White,1
Gray,1
White,115
End of Row - Total Pixels,1280
Black,128
Gray,1
Black,2
Red,3
Black,1
Gray,4
Black,3
Red,1
Black,2
Gray,1
Black,421
Red,1
Black,8
Red,2
Black,78
Red,2
Black,5
Red,1
Black,3
Red,1
Black,4
Red,7
Black,2
Red,8
Black,1
Red,2
Black,1
Red,27
Black,1
Red,222
Gray,1
Red,11
Gray,3
Red,1
Gray,131
White,5
Gray,11
White,11
Gray,11
White,14
Gray,21
White,117
End of Row - Total Pixels,1280
Black,128
Gray,3
Black,2
Red,2
Gray,4
Black,1
Red,3
Black,3
Gray,1
Black,1
Red,1
Black,439
Red,2
Black,57
Red,1
Black,6
Red,1
Black,1
Red,1
Black,6
Red,1
Black,8
Red,50
Black,1
Red,4
Black,1
Red,215
Gray,1
Red,10
Gray,2
Red,2
Gray,133
White,3
Gray,12
White,12
Gray,10
White,14
Gray,2
White,1
Gray,18
White,117
End of Row - Total Pixels,1280
Black,129
Gray,3
Red,3
Black,1
Red,1
Black,1
Gray,2
Black,1
Red,3
Black,2
Gray,2
Black,414
Red,1
Black,70
Red,1
Black,2
Red,3
Black,1
Red,1
Black,8
Red,1
Black,22
Red,2
Black,1
Red,35
Black,1
Red,243
Gray,2
Red,3
Gray,129
White,1
Gray,1
White,4
Gray,14
White,12
Gray,8
White,5
Gray,2
White,7
Gray,20
White,118
End of Row - Total Pixels,1280
Black,130
Gray,3
Black,2
Red,2
Gray,3
Black,2
Red,3
Black,2
Gray,1
Black,420
Red,1
Black,7
Red,1
Black,61
Red,1
Black,5
Red,1
Black,34
Red,11
Black,2
Red,250
Gray,1
Red,11
Gray,92
White,1
Gray,32
White,14
Gray,15
White,13
Gray,8
White,5
Gray,2
White,7
Gray,4
White,1
Gray,12
White,120
End of Row - Total Pixels,1280
Black,132
Gray,1
Black,1
Red,3
Gray,5
Black,1
Red,3
Black,483
Red,2
Black,12
Red,2
Black,4
Red,1
Black,4
Red,1
Black,2
Red,2
Black,10
Red,1
Black,2
Red,1
Black,2
Red,1
Black,3
Red,11
Black,2
Red,2
Black,1
Red,189
Gray,1
Red,69
Gray,124
White,14
Gray,15
White,16
Gray,8
White,22
Gray,5
White,122
End of Row - Total Pixels,1280
Black,132
Gray,2
Black,1
Red,3
Gray,4
Black,1
Red,3
Black,483
Red,2
Black,1
Red,3
Black,5
Red,3
Black,23
Red,1
Black,2
Red,8
Black,1
Red,34
Black,1
Red,228
Gray,1
Red,11
Gray,86
White,4
Gray,27
White,1
Gray,4
White,16
Gray,17
White,16
Gray,8
White,3
Gray,2
White,7
Gray,1
White,7
Gray,4
White,32
Gray,1
White,91
End of Row - Total Pixels,1280
Black,131
Gray,3
Black,1
Red,3
Black,1
Gray,4
Black,1
Red,3
Black,414
Red,1
Black,4
Red,1
Black,11
Red,1
Black,23
Red,1
Black,17
Red,1
Black,10
Red,10
Black,2
Red,4
Black,1
Red,2
Black,1
Red,1
Black,5
Red,3
Black,12
Red,1
Black,1
Red,46
Black,1
Red,219
Gray,3
Red,7
Gray,1
Red,3
Gray,76
White,1
Gray,7
White,23
Gray,4
White,6
Gray,4
White,14
Gray,17
White,20
Gray,6
White,14
Gray,2
White,6
Gray,3
White,123
End of Row - Total Pixels,1280
Black,135
Gray,1
Red,3
Gray,4
Black,1
Red,4
Black,404
Red,1
Black,78
Red,1
Black,1
Red,3
Black,3
Red,1
Black,7
Red,2
Black,1
Red,1
Black,2
Red,1
Black,1
Red,1
Black,16
Red,1
Black,2
Red,1
Black,1
Red,274
Gray,1
Red,1
Gray,79
White,32
Gray,4
White,4
Gray,1
White,16
Gray,18
White,19
Gray,7
White,4
Gray,2
White,47
Gray,1
White,93
End of Row - Total Pixels,1280
Black,133
Gray,1
Black,4
Red,1
Black,1
Gray,3
Black,2
Red,1
Black,1
Red,1
Black,404
Red,1
Black,12
Red,1
Black,40
Red,1
Black,16
Red,1
Black,9
Red,4
Black,1
Red,6
Black,2
Red,1
Black,3
Red,1
Black,2
Red,1
Black,16
Red,281
Gray,85
White,1
Gray,5
White,23
Gray,4
White,18
Gray,1
White,1
Gray,19
White,20
Gray,5
White,5
Gray,1
White,46
Gray,2
White,93
End of Row - Total Pixels,1280
Black,136
Gray,1
Black,2
Red,1
Gray,4
Black,1
Red,4
Black,411
Red,1
Black,1
Red,1
Black,5
Red,1
Black,8
Red,2
Black,21
Red,1
Black,31
Red,3
Black,1
Red,5
Black,2
Red,1
Black,5
Red,1
Black,4
Red,1
Black,15
Red,277
Gray,2
Red,1
Gray,96
White,2
Gray,1
White,14
Gray,5
White,8
Gray,7
White,2
Gray,25
White,20
Gray,4
White,146
End of Row - Total Pixels,1280
Black,135
Gray,1
Black,4
Gray,3
Black,2
Red,4
Black,419
Red,1
Black,14
Red,1
Black,47
Red,1
Black,4
Red,2
Black,4
Red,2
Black,2
Red,2
Black,3
Red,2
Black,13
Red,1
Black,6
Red,106
Black,1
Red,3
Black,1
Red,2
Black,1
Red,160
Gray,104
White,13
Gray,2
White,3
Gray,14
White,4
Gray,25
White,20
Gray,1
White,147
End of Row - Total Pixels,1280
Black,135
Gray,1
Black,6
Gray,2
Black,3
Red,2
Black,426
Red,1
Black,39
Red,1
Black,20
Red,3
Black,1
Red,4
Black,2
Red,5
Black,2
Red,3
Black,10
Red,1
Black,5
Red,83
Black,1
Red,191
Gray,113
White,4
Gray,1
White,4
Gray,14
White,4
Gray,25
White,67
Gray,3
White,98
End of Row - Total Pixels,1280
Black,136
Gray,3
Black,3
Gray,2
Black,2
Red,3
Black,411
Red,2
Black,17
Red,4
Black,15
Red,2
Black,34
Red,7
Black,7
Red,2
Black,1
Gray,2
Black,1
Red,2
Black,6
Red,2
Black,6
Red,18
Black,1
Red,95
Gray,1
Red,161
Gray,1
Red,1
Gray,67
White,1
Gray,44
White,10
Gray,14
White,2
Gray,27
White,167
End of Row - Total Pixels,1280
Black,136
Gray,2
Black,1
Gray,6
Black,1
Red,3
Black,416
Red,1
Black,9
Gray,5
Black,2
Red,1
Black,17
Red,1
Black,13
Red,1
Black,9
Red,2
Black,2
Red,3
Black,3
Red,2
Black,2
Red,2
Black,2
Red,6
Black,1
Red,6
Black,18
Red,101
Gray,1
Black,1
Red,6
Black,1
Red,159
Gray,1
Red,2
Gray,68
White,1
Gray,43
White,14
Gray,13
White,3
Gray,1
White,1
Gray,25
White,166
End of Row - Total Pixels,1280
Black,138
Gray,3
Black,1
Gray,3
Black,1
Red,3
Black,398
Gray,1
Black,8
Red,1
Black,16
Gray,9
Black,4
Red,1
Black,2
Red,1
Black,1
Red,1
Black,9
Red,1
Black,15
Red,1
Black,2
Red,1
Black,11
Red,1
Black,2
Red,2
Black,8
Red,1
Black,15
Red,2
Black,1
Red,1
Black,3
Red,3
Black,1
Red,51
Black,1
Red,3
Black,1
Red,36
Black,1
Red,23
Gray,2
Red,151
Gray,1
Red,2
Gray,103
White,25
Gray,13
White,3
Gray,32
White,157
Gray,1
White,1
Gray,1
End of Row - Total Pixels,1280
Black,138
Gray,4
Black,1
Gray,2
Black,1
Red,2
Black,407
Red,1
Black,4
Red,1
Black,5
Gray,2
Black,4
Gray,1
Black,2
Gray,1
Black,5
Gray,3
Black,1
Red,1
Black,22
Red,1
Black,23
Red,3
Black,1
Red,1
Black,3
Red,2
Black,27
Red,3
Black,1
Red,4
Black,1
Red,6
Black,1
Red,49
Black,1
Red,1
Black,2
Red,27
Black,1
Red,19
Gray,1
Red,154
Gray,104
White,28
Gray,14
White,3
Gray,1
White,8
Gray,25
White,148
Gray,2
White,1
Gray,6
End of Row - Total Pixels,1280
Black,87
Gray,1
Black,50
Gray,3
Black,2
Gray,3
Black,1
Red,2
Black,396
Red,1
Black,14
Gray,2
Black,11
Red,1
Black,1
Gray,1
Black,7
Gray,2
Black,6
Red,1
Black,10
Red,1
Black,4
Red,2
Black,6
Red,2
Black,1
Red,1
Black,3
Red,1
Black,18
Red,1
Black,2
Red,1
Black,1
Red,2
Black,2
Red,1
Black,20
Red,13
Black,2
Red,39
Black,2
Red,6
Black,3
Red,26
Black,1
Red,6
Black,1
Red,9
Black,1
Gray,1
Red,1
Gray,1
Red,159
Gray,56
White,5
Gray,1
White,1
Gray,8
White,1
Gray,13
White,2
Gray,11
White,32
Gray,3
White,1
Gray,12
White,8
Gray,1
White,3
Gray,26
White,145
Gray,2
White,1
Gray,6
End of Row - Total Pixels,1280
Black,126
Gray,1
Black,9
Red,1
Black,2
Gray,1
Black,1
Gray,1
Black,2
Gray,2
Black,2
Red,1
Black,2
Gray,1
Black,406
Gray,2
Black,9
Red,1
Black,2
Red,2
Gray,2
Red,3
Black,11
Red,1
Black,9
Red,1
Black,1
Red,1
Black,16
Red,1
Black,18
Red,1
Black,2
Red,1
Black,8
Red,2
Black,12
Red,2
Black,2
Red,2
Black,2
Red,55
Black,1
Red,1
Black,1
Red,3
Black,3
Red,25
Black,1
Red,1
Black,2
Red,1
Black,1
Red,174
Gray,1
Red,1
Gray,17
Red,5
Gray,27
White,14
Gray,6
White,1
Gray,13
White,4
Gray,10
White,35
Gray,11
White,10
Gray,1
White,4
Gray,26
White,129
Gray,1
White,14
Gray,9
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,6
Gray,1
Black,48
Gray,3
Black,1
Gray,2
Black,5
Gray,1
Black,404
Gray,1
Black,9
Red,1
Black,2
Red,4
Black,1
Gray,1
Black,3
Red,1
Black,4
Red,2
Black,17
Red,1
Black,35
Red,1
Black,3
Red,1
Black,4
Red,1
Black,2
Red,4
Black,10
Red,1
Black,3
Red,6
Black,2
Red,54
Black,2
Red,4
Black,1
Red,2
Black,3
Red,19
Black,1
Red,1
Black,2
Red,1
Black,1
Red,1
Black,3
Red,4
Black,2
Red,1
Black,1
Red,2
Black,1
Red,159
Gray,19
Red,2
Gray,3
Red,1
Gray,21
White,1
Gray,1
White,16
Gray,19
White,6
Gray,9
White,37
Gray,11
White,1
Gray,3
White,5
Gray,1
White,5
Gray,9
White,5
Gray,11
White,130
Gray,1
White,13
Gray,9
End of Row - Total Pixels,1280
Black,86
Gray,2
Black,3
Gray,1
Black,52
Gray,3
Black,1
Red,1
Black,398
Gray,1
Black,21
Red,4
Gray,1
Black,1
Red,2
Black,2
Red,2
Black,2
Red,2
Black,6
Red,1
Black,10
Red,1
Black,13
Red,2
Black,2
Red,1
Black,21
Red,1
Black,2
Red,1
Black,1
Red,8
Black,10
Red,3
Black,2
Red,13
Black,3
Red,48
Black,7
Red,5
Black,2
Red,2
Black,1
Red,8
Black,1
Red,2
Black,1
Red,2
Black,1
Red,10
Black,1
Red,4
Gray,1
Red,160
Gray,9
White,1
Gray,32
White,9
Gray,4
White,12
Gray,13
White,9
Gray,7
White,8
Gray,6
White,27
Gray,11
White,14
Gray,5
White,7
Gray,11
White,1
Gray,3
White,127
Gray,1
White,11
Gray,10
End of Row - Total Pixels,1280
Black,83
Gray,2
Black,2
Gray,1
Black,3
Gray,1
Black,49
Gray,2
Black,2
Gray,2
Black,1
Red,1
Black,2
Gray,1
Black,395
Gray,1
Black,3
Gray,1
Black,17
Red,1
Black,1
Red,1
Gray,1
Black,2
Red,1
Black,2
Red,1
Black,3
Red,1
Black,1
Red,1
Black,2
Gray,2
Black,1
Red,1
Black,6
Red,1
Black,2
Red,1
Black,1
Red,1
Black,38
Red,2
Black,4
Red,9
Black,8
Red,4
Black,2
Red,2
Black,1
Red,2
Black,2
Red,51
Black,1
Red,6
Black,1
Red,1
Black,3
Red,14
Black,14
Red,1
Black,5
Red,1
Black,1
Red,4
Black,1
Gray,2
Black,1
Red,158
Gray,23
White,1
Gray,12
White,7
Gray,3
White,2
Gray,6
White,8
Gray,1
White,2
Gray,14
White,11
Gray,5
White,7
Gray,11
White,24
Gray,5
White,3
Gray,1
White,19
Gray,2
White,7
Gray,11
White,131
Gray,2
White,9
Gray,11
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,2
Gray,2
Black,2
Gray,1
Black,2
Gray,1
Black,46
Gray,1
Black,4
Gray,1
Black,4
Gray,1
Black,1
Red,1
Black,393
Gray,2
Black,8
Gray,1
Black,11
Red,1
Black,3
Red,4
Black,2
Red,2
Black,1
Red,2
Black,2
Red,1
Gray,1
Black,3
Red,1
Black,2
Red,1
Black,7
Red,3
Black,6
Red,2
Black,22
Red,2
Black,4
Red,1
Black,2
Red,1
Black,1
Red,2
Black,1
Red,3
Black,3
Red,1
Black,8
Red,1
Black,3
Red,3
Black,1
Red,2
Black,2
Red,3
Black,1
Red,47
Black,1
Red,3
Black,2
Red,3
Black,2
Red,3
Black,2
Red,8
Black,1
Red,3
Black,4
Red,2
Black,1
Red,1
Black,2
Red,1
Black,1
Red,1
Black,8
Red,1
Black,1
Red,163
Gray,26
White,1
Gray,3
White,12
Gray,13
White,8
Gray,15
White,14
Gray,3
White,6
Gray,6
White,1
Gray,12
White,19
Gray,5
White,34
Gray,8
White,130
Gray,4
White,8
Gray,1
Black,1
Gray,8
Red,1
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,2
Gray,2
Black,2
Gray,4
Black,49
Gray,1
Black,1
Gray,2
Black,2
Gray,2
Black,338
Red,1
Black,28
Red,1
Black,24
Gray,1
Black,2
Red,1
Black,6
Gray,3
Black,7
Red,1
Black,6
Red,5
Black,3
Red,4
Black,2
Red,2
Black,6
Red,2
Black,4
Red,2
Black,1
Red,3
Black,3
Red,1
Black,6
Red,2
Black,3
Red,1
Black,18
Red,1
Black,4
Red,8
Black,2
Red,1
Gray,2
Black,1
Red,1
Black,2
Red,1
Black,1
Red,1
Black,4
Red,1
Black,3
Red,1
Black,2
Red,1
Black,1
Red,1
Black,1
Red,57
Black,1
Red,7
Black,1
Red,4
Black,1
Red,6
Black,7
Red,2
Black,10
Gray,1
Black,2
Red,1
Black,2
Red,3
Gray,1
Red,147
Gray,1
Red,9
Gray,13
White,1
Gray,8
White,12
Gray,20
White,6
Gray,2
White,2
Gray,12
White,4
Gray,6
White,12
Gray,24
White,60
Gray,2
White,61
Gray,5
White,58
Gray,2
White,5
Gray,5
White,6
Gray,1
Black,1
Gray,9
Red,1
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,1
Gray,3
Black,2
Gray,3
Black,1
Red,1
Black,1
Gray,1
Black,44
Gray,2
Black,7
Gray,1
Black,367
Red,1
Black,24
Gray,3
Black,5
Gray,2
Black,1
Gray,1
Black,7
Red,1
Black,5
Red,6
Black,1
Gray,1
Red,6
Black,1
Red,6
Black,9
Red,6
Black,32
Red,2
Black,5
Red,5
Black,1
Red,2
Black,5
Red,1
Black,3
Red,1
Black,8
Red,3
Black,1
Red,1
Black,1
Red,35
Black,1
Red,22
Black,2
Red,23
Black,18
Red,1
Gray,1
Red,2
Gray,1
Red,150
Gray,1
Red,8
Gray,13
White,1
Gray,39
White,6
Gray,16
White,4
Gray,9
White,10
Gray,28
White,122
Gray,3
White,58
Gray,3
White,3
Gray,11
Black,1
Red,1
Black,1
Gray,8
Red,2
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,2
Gray,2
Black,2
Gray,2
Black,2
Gray,3
Black,43
Gray,2
Black,8
Gray,1
Black,366
Red,2
Black,25
Gray,7
Black,5
Red,1
Black,2
Red,1
Black,1
Red,1
Black,4
Red,6
Black,3
Red,12
Black,1
Red,2
Black,5
Red,1
Black,2
Red,5
Black,18
Red,1
Black,18
Red,1
Black,7
Red,1
Black,9
Red,1
Black,1
Red,1
Black,8
Red,3
Black,1
Red,1
Black,5
Red,4
Black,1
Red,24
Black,2
Red,49
Black,6
Red,1
Black,8
Red,1
Black,1
Red,1
Black,1
Red,2
Gray,1
Red,158
Gray,13
White,2
Gray,39
White,5
Gray,5
White,2
Gray,7
White,6
Gray,12
White,8
Gray,29
White,122
Gray,1
White,59
Gray,6
White,1
Gray,4
White,2
Gray,3
Black,2
Gray,5
Red,1
Gray,4
Black,1
Gray,1
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,2
Gray,2
Black,2
Gray,2
Red,1
Gray,3
Black,54
Gray,1
Black,366
Red,2
Black,20
Gray,1
Black,4
Gray,3
Black,1
Gray,2
Black,5
Red,4
Black,1
Gray,3
Red,2
Black,1
Red,2
Black,5
Red,4
Black,2
Red,2
Black,1
Red,5
Black,4
Red,2
Black,2
Red,1
Black,2
Red,4
Black,19
Red,1
Black,15
Red,2
Black,4
Red,2
Black,1
Red,1
Black,1
Red,1
Black,1
Red,1
Black,7
Red,1
Black,5
Red,2
Black,3
Red,1
Black,2
Red,3
Black,1
Red,1
Black,1
Red,4
Black,2
Red,79
Black,9
Gray,1
Black,1
Red,1
Black,2
Red,2
Black,1
Red,3
Gray,1
Red,154
Gray,53
White,1
Gray,2
White,4
Gray,4
White,3
Gray,4
White,7
Gray,15
White,5
Gray,33
White,103
Gray,3
White,73
Gray,8
White,2
Gray,1
White,1
Gray,8
Red,4
Gray,4
Black,1
Gray,2
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,2
Gray,2
Black,2
Gray,6
Black,43
Red,1
Black,2
Gray,2
Black,393
Red,1
Black,1
Gray,1
Black,16
Red,2
Black,1
Gray,3
Red,1
Black,1
Red,4
Black,3
Gray,2
Red,13
Black,1
Gray,3
Red,3
Black,2
Red,1
Black,1
Red,2
Black,17
Red,1
Black,15
Red,1
Gray,2
Black,8
Red,5
Black,16
Red,2
Black,6
Red,1
Black,1
Red,1
Black,3
Red,5
Black,1
Red,19
Black,1
Red,55
Black,1
Red,1
Black,3
Gray,2
Black,5
Gray,2
Black,4
Red,1
Black,2
Red,158
Gray,8
White,2
Gray,45
White,19
Gray,20
White,3
Gray,36
White,101
Gray,5
White,71
Gray,9
White,2
Gray,5
Black,1
Gray,1
Red,2
Gray,2
Red,1
Gray,8
End of Row - Total Pixels,1280
Black,84
Gray,1
Black,2
Gray,2
Black,2
Gray,8
Black,43
Gray,3
Black,6
Gray,1
Black,387
Gray,3
Black,14
Red,2
Black,1
Gray,1
Black,1
Gray,1
Red,4
Black,1
Red,2
Black,5
Gray,1
Red,2
Black,1
Red,5
Black,1
Red,3
Black,1
Gray,2
Black,3
Red,1
Black,4
