Color,Count
White,38
Gray,2
White,9
Gray,1
White,6
Gray,1
White,3
Gray,2
White,5
Gray,2
White,4
Gray,1
White,16
Gray,1
White,13
Gray,2
White,5
Gray,4
White,5
Gray,24
White,14
Gray,166
Black,2
Gray,156
Black,617
Gray,152
White,1
Gray,32
White,12
Gray,1
White,2
Gray,2
White,1
Gray,1
White,1
Gray,8
White,1
Gray,6
White,3
Gray,9
White,7
Gray,4
White,5
Gray,2
White,2
Gray,1
White,1
Gray,6
White,7
Gray,5
White,4
Gray,3
White,7
Gray,5
White,5
Gray,2
White,2
Gray,1
White,2
Gray,1
White,26
Gray,1
White,6
Gray,1
White,13
Gray,1
White,165
Gray,1
White,3
Gray,1
White,8
Gray,2
White,113
End of Row - Total Pixels,1744
White,38
Gray,1
White,29
Gray,2
White,2
Gray,3
White,7
Gray,3
White,2
Gray,4
White,5
Gray,1
White,2
Gray,2
White,4
Gray,1
White,6
Gray,4
White,2
Gray,1
White,2
Gray,3
White,1
Gray,22
White,9
Gray,15
White,2
Gray,152
Black,1
Gray,156
Black,617
Gray,151
White,3
Gray,28
White,1
Gray,2
White,9
Gray,1
White,5
Gray,12
White,2
Gray,5
White,4
Gray,4
White,2
Gray,3
White,17
Gray,1
White,3
Gray,5
White,9
Gray,4
White,5
Gray,6
White,2
Gray,8
White,2
Gray,4
White,2
Gray,2
White,20
Gray,1
White,14
Gray,1
White,12
Gray,2
White,106
Gray,2
White,61
Gray,1
White,123
End of Row - Total Pixels,1744
White,38
Gray,1
White,11
Gray,1
White,18
Gray,1
White,2
Gray,3
White,7
Gray,3
White,3
Gray,3
White,7
Gray,4
White,10
Gray,4
White,1
Gray,3
White,1
Gray,3
White,1
Gray,6
White,1
Gray,2
White,3
Gray,10
White,8
Gray,17
White,2
Gray,93
White,1
Gray,57
Black,2
Gray,155
Black,127
Gray,1
Black,489
Gray,180
White,10
Gray,1
White,2
Gray,2
White,3
Gray,12
White,4
Gray,2
White,7
Gray,3
White,25
Gray,5
White,11
Gray,4
White,3
Gray,3
White,2
Gray,3
White,2
Gray,2
White,1
Gray,11
White,19
Gray,1
White,4
Gray,1
White,27
Gray,2
White,106
Gray,1
White,62
Gray,1
White,123
End of Row - Total Pixels,1744
White,59
Gray,3
White,4
Gray,1
White,2
Gray,2
White,1
Gray,1
White,8
Gray,3
White,5
Gray,1
White,8
Gray,2
White,2
Gray,1
White,10
Gray,8
White,1
Gray,7
White,3
Gray,2
White,1
Gray,1
White,3
Gray,1
White,2
Gray,1
White,1
Gray,7
White,3
Gray,21
White,1
Gray,7
White,1
Gray,33
White,5
Gray,103
Black,3
Gray,152
Black,128
Gray,2
Black,65
Gray,1
Black,423
Gray,176
White,1
Gray,3
White,18
Gray,11
White,5
Gray,2
White,6
Gray,1
White,1
Gray,1
White,19
Gray,2
White,6
Gray,1
White,14
Gray,3
White,4
Gray,9
White,1
Gray,1
White,3
Gray,9
White,20
Gray,1
White,32
Gray,1
White,294
End of Row - Total Pixels,1744
White,60
Gray,2
White,4
Gray,2
White,15
Gray,2
White,13
Gray,3
White,12
Gray,5
White,4
Gray,6
White,16
Gray,9
