Color,Count
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,325
White,1
Gray,74
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,70
White,2
Gray,328
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
End of Row - Total Pixels,400
Gray,400
